district_id,district,region,ecological_zone,spatial_unit,incidence,parasitemia,itn_coverage,water_access,sanitation,u5mr,mort_rate,pop_density,high_burden,bv_lisa_quadrant,gi_z_score,gi_classification,xgb_risk_score,xgb_risk_tier,data_source_incidence,data_source_parasitemia,data_source_itn,data_source_wash,data_source_u5mr,analysis_year,version,latitude,longitude
11,LAMBUSSIE-KARNI,UPPER WEST,Guinea/Sudan Savannah,261-district (Ghana 2018 administrative),268.4,62.8518607118221,37.263121354445545,49.88001057084033,26.47108367191081,137.30400754418218,51.31869401959056,146.38654869004648,1,4,3.314251860939252,Hotspot 99.9%,0.6597312950090296,High,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),10.442601377272728,-2.5245542561064784
12,BOLGATANGA MUNICIPAL,UPPER EAST,Guinea/Sudan Savannah,261-district (Ghana 2018 administrative),182.9,25.054222928170443,56.37225128371875,68.80218186370485,33.512887566760085,128.63041765248835,34.90306287398481,89.12599795281278,0,1,1.0193379187720566,Not Significant,0.3649679302228604,Moderate,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),10.7853963,-0.8487322
13,NANUMBA SOUTH,NORTHERN,Guinea/Sudan Savannah,261-district (Ghana 2018 administrative),293.0,60.068563448164596,24.43884712118422,58.5881759775366,28.419616317620914,138.9847935801594,50.49073540273439,19.5396460314781,0,4,3.241763285783732,Hotspot 99%,0.378551086529746,Moderate,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),8.76637935,0.0549741822848612
14,WENCHI MUNICIPAL,BONO,Transitional Forest-Savannah,261-district (Ghana 2018 administrative),171.9,43.83267405563189,53.012648955001964,69.27355727184103,49.51506183092738,102.5819553382768,25.21912215484217,127.97238932974523,1,0,0.23367328497107398,Not Significant,0.7519015557486675,Very High,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),7.80281055,-2.08141333112632
15,BONGO,UPPER EAST,Guinea/Sudan Savannah,261-district (Ghana 2018 administrative),196.4,34.71276572622352,48.764696672199875,61.264037368144116,40.452673390636576,116.78144958915821,37.31225104570593,316.1066201752421,1,1,1.1224947372626044,Not Significant,0.6313988004687873,High,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),10.9166838999999,-0.805767855895511
16,TANO SOUTH MUNICIPAL,AHAFO,Transitional Forest-Savannah,261-district (Ghana 2018 administrative),175.3,34.659211584253505,46.4761681029085,61.087796361192275,50.75044661045348,135.22281095810933,27.14741131590772,93.11204354052852,1,0,-0.31742575435230297,Not Significant,0.5233259424414952,High,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),7.16093674999999,-1.99681708617696
17,KASENA NANKANA WEST,UPPER EAST,Guinea/Sudan Savannah,261-district (Ghana 2018 administrative),197.3,22.536864513694148,39.87578954498417,59.15701972347981,35.99057643506414,139.85734640390717,32.46018378109742,460.86764307199206,0,0,1.4211848405316332,Not Significant,0.3910671014657608,Moderate,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),10.895598,-1.30768
18,WA WEST,UPPER WEST,Guinea/Sudan Savannah,261-district (Ghana 2018 administrative),251.5,61.49608045306903,32.41749513926073,45.90050876376106,32.54511009730312,170.01699870074745,43.57788080532009,238.05603146867128,1,4,3.064445078864845,Hotspot 99%,0.7225336416297388,High,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),9.8985772,-2.6832633
19,SUNYANI MUNICIPAL,BONO,Transitional Forest-Savannah,261-district (Ghana 2018 administrative),180.0,44.814652986094124,25.30311212864774,59.65755483382038,49.57442802119572,111.6369728177698,32.909868683451236,198.2695893712279,1,0,0.2799544521857532,Not Significant,0.8793685757393729,Very High,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),7.3384389,-2.3309226
20,SAWLA-TUNA-KALBA,SAVANNAH,Guinea/Sudan Savannah,261-district (Ghana 2018 administrative),248.4,59.20663833474063,34.15898946484658,53.364313512695254,44.09288702689472,144.5476900644604,45.66079679280124,254.66572834205513,1,4,3.0874927284014713,Hotspot 99%,0.7539300028093915,Very High,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),8.994241864285714,-1.258015843847888
21,ASANTE AKIM SOUTH,ASHANTI,Coastal/Urban,261-district (Ghana 2018 administrative),108.3,26.212512263062123,54.11956663646398,72.24268768172298,70.05660388411458,89.30547388026315,24.286816219945035,583.3568674771667,0,0,-1.3815208640070527,Not Significant,0.23569700390628795,Very Low,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),6.46141735,-1.11533920112058
22,SISSALA EAST,UPPER WEST,Guinea/Sudan Savannah,261-district (Ghana 2018 administrative),267.6,59.813175888888,15.458192325683317,50.99212346168905,28.786717455123238,154.3750182321229,50.27687388756484,226.1248751318039,1,0,2.8157535056389853,Hotspot 99%,0.6610521279792224,High,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),10.59705475,-1.85050542952138
23,ADA EAST,GREATER ACCRA,Coastal/Urban,261-district (Ghana 2018 administrative),65.1,22.81837045652468,52.4657320200139,96.78785773726335,84.64959729705843,51.3958904403925,8.842381071803135,191.8560984913277,0,0,-1.3344962242266765,Not Significant,0.0010206185567010308,Very Low,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),5.8761016,0.549568161630084
24,SHAI OSUDOKU,GREATER ACCRA,Coastal/Urban,261-district (Ghana 2018 administrative),62.6,15.225386618337565,60.359751381017674,90.39880761286004,73.6857921029663,35.61683354981547,11.105986986472116,232.43620187642503,0,2,-2.844910912040002,Coldspot 99%,0.0,Very Low,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),5.653307048275861,-0.1885558633617898
25,KASENA NANKANA EAST,UPPER EAST,Guinea/Sudan Savannah,261-district (Ghana 2018 administrative),199.9,14.108134721811208,55.66804150605259,63.93551879408356,34.7043445038171,124.77346439975497,34.58575797797478,8.574084097728672,0,0,1.4024019024652021,Not Significant,0.3962675197950503,Moderate,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),10.895598,-1.30768
26,ADA WEST,GREATER ACCRA,Coastal/Urban,261-district (Ghana 2018 administrative),68.9,14.134984059143791,65.57969688918593,96.73551425457586,69.51425488688781,36.328932945746246,11.625534197246758,234.60532762393544,0,0,-1.8430314591638637,Not Significant,0.0007333333333333333,Very Low,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),5.9040093,0.420370257026968
27,BUNKPURUGU NAKPANDURI,NORTHERN EAST,Guinea/Sudan Savannah,261-district (Ghana 2018 administrative),285.0,75.33453978727928,36.940686074463045,64.97214664037952,42.66105865503002,143.5317641264415,48.23327557023115,292.9584310914531,1,0,2.7040467526429137,Hotspot 99%,0.52304562745881,High,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),10.632198,-0.180118
28,GARU,UPPER EAST,Guinea/Sudan Savannah,261-district (Ghana 2018 administrative),177.4,24.07333780659953,45.07304750234431,59.83974896375069,62.09509588664609,103.14339063932542,37.408882100780964,117.15532581921578,1,1,1.1215653965554824,Not Significant,0.5191380131749292,High,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),10.76975475,-0.21182067584702
29,NINGO/PRAMPRAM,GREATER ACCRA,Coastal/Urban,261-district (Ghana 2018 administrative),59.9,16.804127319504776,54.70425512376612,82.04277914595106,74.76652400229912,72.75801136516706,10.227907725825366,255.67683541029996,0,2,-2.88025998606094,Coldspot 99%,0.0007333333333333334,Very Low,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),5.653307048275861,-0.1885558633617898
30,EAST MAMPRUSI,NORTHERN EAST,Guinea/Sudan Savannah,261-district (Ghana 2018 administrative),273.1,57.28313342910531,45.9430640598331,61.12231357147715,26.308451228563417,135.86499589484472,47.45433775982192,268.42274074698696,1,0,2.923185291382293,Hotspot 99%,0.5267280808043542,High,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),10.45279035,-0.416678651029704
31,LA DADE-KOTOPON,GREATER ACCRA,Coastal/Urban,261-district (Ghana 2018 administrative),56.4,9.614963237507672,60.81355430817038,97.27091656774935,69.7423402580288,59.051207104891446,10.519555341776199,61.536739851863075,0,2,-3.138532404892005,Coldspot 99%,0.0022,Very Low,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),5.58947605,-0.156988356399583
32,BAWKU WEST,UPPER EAST,Guinea/Sudan Savannah,261-district (Ghana 2018 administrative),235.3,27.69136026023473,39.89115454654705,66.52884875460576,57.73933832211164,140.69447175495844,29.711332244118815,160.33163077489283,0,1,1.6905077774556032,Not Significant,0.2980748597943511,Moderate,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),10.84277,-0.492947618512454
33,AOWIN,WESTERN NORTH,Forest,261-district (Ghana 2018 administrative),164.0,38.086573593817484,40.62807962031467,78.60972365627178,46.1064594015745,98.1715654424486,14.910349910970886,89.84065039317899,0,0,-0.3135225233823905,Not Significant,0.25919771285078086,Moderate,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),5.69311555,-2.7557437678514
34,DORMAA EAST,BONO,Transitional Forest-Savannah,261-district (Ghana 2018 administrative),170.2,32.250132172584365,51.42457732775478,59.768484624877686,41.85327522449986,103.41346151405212,36.60851457442308,25.069373505303016,0,0,0.24073627434520192,Not Significant,0.468643429304663,Moderate,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),7.26432845,-2.64146295349265
35,SUAMAN,WESTERN NORTH,Forest,261-district (Ghana 2018 administrative),162.4,42.31585490268848,33.926385081214384,74.62835376632876,56.613498794736785,88.16375501395268,26.197225390889688,8.73999069861597,1,0,-0.2886161924315193,Not Significant,0.6427415553651497,High,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),6.10824159999999,-3.00869712063798
36,BEREKUM EAST MUNICIPAL,BONO,Transitional Forest-Savannah,261-district (Ghana 2018 administrative),177.2,43.71062745387887,48.456999880855214,56.80934199415547,60.21020103592376,76.76767579866949,31.435731051755134,235.51501880953708,1,0,0.3288377733803718,Not Significant,0.6757822221382885,High,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),7.4848835,-2.56459096524003
37,BIA EAST,WESTERN NORTH,Forest,261-district (Ghana 2018 administrative),149.2,40.30965549274162,40.50355878456604,69.18358337016892,48.025383711321105,112.26884870945489,25.91667478661876,-28.48965505475097,0,0,-0.27058698271335185,Not Significant,0.37334766914756107,Moderate,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),6.817878,-3.00681786775424
38,JAMAN SOUTH MUNICIPAL,BONO,Transitional Forest-Savannah,261-district (Ghana 2018 administrative),192.3,41.937398127166986,42.70667467820292,72.12212475479001,40.177242716289726,91.98852051944782,33.05839957032859,238.5004666597529,0,0,0.5253003988659732,Not Significant,0.49949308660334474,Moderate,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),7.62036559999999,-2.7963718064665
39,BIA WEST,WESTERN NORTH,Forest,261-district (Ghana 2018 administrative),144.7,43.946604044623605,48.92481465684153,70.92226146851178,56.828492094407,88.73289828217351,24.215183279879213,331.8712624349304,1,0,-0.4259727489441588,Not Significant,0.6637028531507305,High,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),6.56894165,-3.06628883975843
40,SUNYANI WEST,BONO,Transitional Forest-Savannah,261-district (Ghana 2018 administrative),190.8,48.00384336814298,48.713089285486774,70.4465057486182,47.50639798537239,96.43306807348803,32.1321181291872,135.38013047386815,1,0,0.42047076710260645,Not Significant,0.7144638958023894,High,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),7.35779433737633,-2.34687996021684
41,ASUNAFO NORTH MUNICIPAL,AHAFO,Transitional Forest-Savannah,261-district (Ghana 2018 administrative),163.6,46.65750302454495,29.766471115703073,78.9810840848461,40.879857999370955,84.06595680258837,31.55251247957792,259.9518254005837,1,0,-0.1687312412127746,Not Significant,0.5970099188074001,High,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),6.81509969999999,-2.67736640122449
42,BODI,WESTERN NORTH,Forest,261-district (Ghana 2018 administrative),154.4,45.92866747526915,38.585457400839616,69.51364887245089,56.46567331821854,86.44590740131831,29.85361099868604,50.212945263273824,0,0,-0.39270235162918915,Not Significant,0.3510994865112648,Moderate,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),6.24012575,-2.87347603617418
43,JUABOSO,WESTERN NORTH,Forest,261-district (Ghana 2018 administrative),132.6,39.811136572849946,43.67453963758832,71.41325789745257,47.00562556893092,97.2790156737852,27.771510927627684,176.70758642034858,1,0,-0.6209484292983656,Not Significant,0.6173125632494931,High,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),6.3415722,-2.8235416
44,NKORANZA NORTH,BONO EAST,Transitional Forest-Savannah,261-district (Ghana 2018 administrative),159.5,43.6333248881083,26.283490972964508,55.65914569492395,38.02560621760979,99.02087617487715,32.366941082435766,534.7156937627534,1,0,-0.11074038108835889,Not Significant,0.8717460189239444,Very High,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),7.7184776,-1.64389618122841
45,KINTAMPO SOUTH,BONO EAST,Transitional Forest-Savannah,261-district (Ghana 2018 administrative),183.4,44.150161402945756,33.71523192529317,59.83837240708444,44.80426885194209,101.3001320336226,30.43511822103258,145.79558809977829,1,0,0.3611788299882202,Not Significant,0.8437295160788558,Very High,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),7.94321545,-1.73400515142892
46,SHAMA,WESTERN,Forest,261-district (Ghana 2018 administrative),146.9,50.24304974776165,36.00081788950022,77.82890717730596,58.98669529207902,88.38870406732578,26.403175017058434,177.12720324453116,0,0,-0.48693749933136493,Not Significant,0.3817275117443643,Moderate,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),5.0606463,-1.64288365568687
47,TANO NORTH MUNICIPAL,AHAFO,Transitional Forest-Savannah,261-district (Ghana 2018 administrative),163.6,36.8403146651178,33.64236375243469,71.85220915531099,52.58822015571568,108.32734732618286,35.82281775151455,29.796219466416673,1,0,-0.1726344721826862,Not Significant,0.5913274117616194,High,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),7.19329065,-2.2080833699397
48,WASSA EAST,WESTERN,Forest,261-district (Ghana 2018 administrative),151.5,40.62102326226626,58.12973550698126,72.41902183218774,47.73190616240901,78.32981446971908,19.211233494267116,112.43597842218244,0,0,-0.5900943178219127,Not Significant,0.4213607999153418,Moderate,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),5.3622378,-1.62070954561049
49,KETU NORTH,VOLTA,Transitional Forest-Savannah,261-district (Ghana 2018 administrative),169.1,37.620281753895846,41.80493340637114,81.63273922358572,52.15675813212063,87.96041713939913,31.191122717268243,271.4500129951006,0,0,0.38552755651481696,Not Significant,0.38182645040588326,Moderate,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),6.192057,0.981151401381816
50,MPOHOR,WESTERN,Forest,261-district (Ghana 2018 administrative),122.6,51.69299989971015,52.265803284911726,73.31089316121819,42.85465036362201,114.07482565397459,24.43255473313522,461.4453270897474,1,0,-1.0436125828974743,Not Significant,0.5766512583568622,High,WHO GHO / DHIMS2 2018-2022,Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 (spatially disaggregated),Ghana DHS 2014 / JMP,Ghana DHS 2014 / Census 2021,2022,v1.1 | May 2026 (Guan added),4.9705877,-1.8927971
